task,architecture,block,condition,epoch,channel,nearest_template,assigned_template,nearest_cosine,assigned_cosine
single_shape,TinyCNN,2000,random,10,2,14,12,0.17064628039874385,0.11449968673495658
single_shape,TinyCNN,2000,random,10,3,11,11,0.15223155725985585,0.15223155725985585
single_shape,TinyCNN,2000,random,10,4,10,10,0.1185449213188833,0.1185449213188833
single_shape,TinyCNN,2000,random,10,5,7,6,0.2112790879739099,0.164016891953307
single_shape,TinyCNN,2000,random,10,6,14,14,0.47831590383500516,0.47831590383500516
single_shape,TinyCNN,2000,random,10,7,15,15,0.40029194370310794,0.40029194370310794
single_shape,TinyCNN,2000,random,10,8,13,13,0.41921882273717004,0.41921882273717004
single_shape,TinyCNN,2000,random,10,9,8,8,0.4409163681576224,0.4409163681576224
single_shape,TinyCNN,2000,random,10,10,10,9,0.4343878935126587,0.38816025694129025
single_shape,TinyCNN,2000,random,10,11,6,4,0.09145982377339745,0.05356672942997797
single_shape,TinyCNN,2000,random,10,12,1,1,0.4700025655202644,0.4700025655202644
single_shape,TinyCNN,2000,random,10,13,15,0,0.23501405631582556,0.226357405160615
single_shape,TinyCNN,2000,random,10,14,6,5,0.23640409263333048,0.21909402719101262
single_shape,TinyCNN,2000,random,10,15,1,2,0.22423664365991183,0.20995352670413883
single_shape,TinyCNN,2000,random,20,0,4,3,0.24303462191288183,0.21848802112546722
single_shape,TinyCNN,2000,random,20,1,7,6,0.26710047659436026,0.2048808052271071
single_shape,TinyCNN,2000,random,20,2,13,12,0.17602482798400798,0.11409711967167449
single_shape,TinyCNN,2000,random,20,3,11,0,0.1361029521323799,0.1130175146748707
single_shape,TinyCNN,2000,random,20,4,11,11,0.15567791831481087,0.15567791831481087
single_shape,TinyCNN,2000,random,20,5,7,7,0.26314124800065386,0.26314124800065386
single_shape,TinyCNN,2000,random,20,6,14,13,0.5071783609816376,0.4836651793889735
single_shape,TinyCNN,2000,random,20,7,15,14,0.41642331874098226,0.40293878048655096
single_shape,TinyCNN,2000,random,20,8,9,9,0.4048962252012776,0.4048962252012776
single_shape,TinyCNN,2000,random,20,9,8,8,0.4768718656597205,0.4768718656597205
single_shape,TinyCNN,2000,random,20,10,10,10,0.4595250446744656,0.4595250446744656
single_shape,TinyCNN,2000,random,20,11,7,4,0.10792325802318933,0.057013688548376865
single_shape,TinyCNN,2000,random,20,12,1,1,0.4634184577059341,0.4634184577059341
single_shape,TinyCNN,2000,random,20,13,15,15,0.32180303428350926,0.32180303428350926
single_shape,TinyCNN,2000,random,20,14,6,5,0.21968251951600534,0.194357959997272
single_shape,TinyCNN,2000,random,20,15,1,2,0.2548129816697927,0.23788746909739877
single_shape,TinyCNN,2000,random,40,0,4,3,0.23918100735143633,0.21179750158171612
single_shape,TinyCNN,2000,random,40,1,7,6,0.27905803601909374,0.21643620375733727
single_shape,TinyCNN,2000,random,40,2,13,12,0.19222251739355134,0.1288269569460826
single_shape,TinyCNN,2000,random,40,3,11,0,0.12610137905975088,0.0918175732202982
single_shape,TinyCNN,2000,random,40,4,11,11,0.1648045840783409,0.1648045840783409
single_shape,TinyCNN,2000,random,40,5,14,7,0.28212721543727215,0.2757609844268617
single_shape,TinyCNN,2000,random,40,6,14,13,0.5095854844991609,0.4868947213721333
single_shape,TinyCNN,2000,random,40,7,15,14,0.4207819411153632,0.4135247603945864
single_shape,TinyCNN,2000,random,40,8,9,9,0.4089278034037455,0.4089278034037455
single_shape,TinyCNN,2000,random,40,9,8,8,0.4911836370969322,0.4911836370969322
single_shape,TinyCNN,2000,random,40,10,10,10,0.440592271055714,0.440592271055714
single_shape,TinyCNN,2000,random,40,11,5,4,0.1107569536523841,0.09558848975401854
single_shape,TinyCNN,2000,random,40,12,1,1,0.45510974412946437,0.45510974412946437
single_shape,TinyCNN,2000,random,40,13,15,15,0.34335041268543803,0.34335041268543803
single_shape,TinyCNN,2000,random,40,14,6,5,0.2106670225387979,0.18492273543048582
single_shape,TinyCNN,2000,random,40,15,1,2,0.2826573414672995,0.2597905218502487
single_shape,TinyCNN,2000,random,80,0,4,4,0.22913961233097296,0.22913961233097296
single_shape,TinyCNN,2000,random,80,1,7,6,0.28087534769514233,0.21846917237298188
